t,s,spd,lat,lon,voltage,current,watt,wh,id
15:06:2025,11:31:05,0,50.529427,18.096836,48.38,0.01,0.48,0.00,0
15:06:2025,11:31:06,0,50.529429,18.096837,48.46,0.01,0.48,0.00,2
15:06:2025,11:31:07,0,50.529430,18.096837,48.49,0.01,0.48,0.00,3
15:06:2025,11:31:08,0,50.529432,18.096836,48.50,0.01,0.48,0.00,4
15:06:2025,11:31:09,0,50.529428,18.096835,48.51,0.01,0.49,0.00,5
15:06:2025,11:31:10,0,50.529429,18.096835,48.52,0.01,0.49,0.00,6
15:06:2025,11:31:11,0,50.529430,18.096833,48.52,0.01,0.49,0.00,7
15:06:2025,11:31:12,0,50.529428,18.096833,48.52,0.01,0.49,0.00,8
15:06:2025,11:31:13,0,50.529428,18.096830,48.52,0.01,0.49,0.00,9
15:06:2025,11:31:14,0,50.529431,18.096827,48.53,0.01,0.49,0.00,10
15:06:2025,11:31:15,0,50.529438,18.096822,48.52,0.01,0.49,0.00,0
15:06:2025,11:31:16,0,50.529445,18.096815,48.52,0.01,0.49,0.00,1
15:06:2025,11:31:17,0,50.529449,18.096811,48.52,0.01,0.49,0.00,2
15:06:2025,11:31:18,0,50.529455,18.096806,48.51,0.01,0.49,0.00,3
15:06:2025,11:31:19,0,50.529460,18.096800,48.51,0.01,0.49,0.00,4
15:06:2025,11:31:20,0,50.529466,18.096794,48.51,0.01,0.49,0.00,5
15:06:2025,11:31:21,0,50.529471,18.096795,48.50,0.01,0.48,0.00,6
15:06:2025,11:31:22,0,50.529479,18.096791,48.50,0.01,0.48,0.00,7
15:06:2025,11:31:23,0,50.529488,18.096792,48.49,0.01,0.48,0.00,8
15:06:2025,11:31:24,0,50.529496,18.096795,48.49,0.01,0.48,0.00,9
15:06:2025,11:31:25,0,50.529499,18.096794,48.48,0.01,0.48,0.00,10
15:06:2025,11:31:26,0,50.529499,18.096791,48.48,0.01,0.48,0.00,0
15:06:2025,11:31:27,0,50.529507,18.096788,48.47,0.01,0.48,0.00,1
15:06:2025,11:31:28,0,50.529513,18.096787,48.46,0.01,0.48,0.00,2
15:06:2025,11:31:29,0,50.529519,18.096786,48.46,0.01,0.48,0.00,3
15:06:2025,11:31:30,0,50.529521,18.096788,48.45,0.01,0.48,0.00,4
15:06:2025,11:31:31,0,50.529524,18.096789,48.45,0.01,0.48,0.00,5
15:06:2025,11:31:32,0,50.529533,18.096788,48.44,0.01,0.48,0.00,6
15:06:2025,11:31:33,0,50.529544,18.096785,48.44,0.01,0.48,0.00,7
15:06:2025,11:31:34,0,50.529557,18.096782,48.04,0.00,0.00,0.00,8
15:06:2025,11:31:35,0,50.529566,18.096780,46.12,0.00,0.00,0.00,9
15:06:2025,11:31:36,0,50.529575,18.096782,43.94,0.00,0.00,0.00,10
15:06:2025,11:31:37,0,50.529580,18.096782,42.12,0.00,0.00,0.00,0
15:06:2025,11:31:38,0,50.529586,18.096784,40.64,-0.00,-0.00,0.00,1
15:06:2025,11:31:39,0,50.529586,18.096784,38.89,0.00,0.00,0.00,2
15:06:2025,11:31:40,0,50.529585,18.096786,36.80,0.00,0.00,0.00,3
15:06:2025,11:31:41,0,50.529584,18.096790,35.11,0.00,0.00,0.00,4
15:06:2025,11:31:42,0,50.529584,18.096790,33.18,-0.00,-0.00,0.00,5
15:06:2025,11:31:43,0,50.529582,18.096791,31.54,0.00,0.00,0.00,6
15:06:2025,11:31:44,0,50.529581,18.096792,29.92,-0.00,-0.00,0.00,7
15:06:2025,11:31:52,0,50.529584,18.096792,28.57,-0.00,-0.00,0.00,8
